C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\support\hashes\bcrypt\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-crypto-hash, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\event\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-web, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.shiro.integrationtests, artifactId=shiro-its-support, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-core, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=javax.servlet, artifactId=javax.servlet-api, version=null, type=jar};USED;2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=com.google.inject.extensions, artifactId=guice-servlet, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=net.sourceforge.htmlunit, artifactId=htmlunit, version=null, type=jar};USED;7
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.taglibs, artifactId=taglibs-standard-spec, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.eclipse.jetty, artifactId=apache-jsp, version=${jetty.version}, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.taglibs, artifactId=taglibs-standard-impl, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.slf4j, artifactId=slf4j-log4j12, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.slf4j, artifactId=jcl-over-slf4j, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=log4j, artifactId=log4j, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.eclipse.jetty, artifactId=apache-jstl, version=${jetty.version}, type=pom};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-guice, version=${project.version}, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice3\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-guice, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-core, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=org.apache.shiro.integrationtests, artifactId=shiro-its-support, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-web, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=javax.servlet, artifactId=javax.servlet-api, version=null, type=jar};USED;2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=com.google.inject.extensions, artifactId=guice-servlet, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=net.sourceforge.htmlunit, artifactId=htmlunit, version=null, type=jar};USED;7
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=log4j, artifactId=log4j, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=org.eclipse.jetty, artifactId=apache-jstl, version=${jetty.version}, type=pom};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=org.slf4j, artifactId=slf4j-log4j12, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\integration-tests\guice4\pom.xml;Dependency {groupId=org.slf4j, artifactId=jcl-over-slf4j, version=null, type=jar};UNUSED
